job_title,company,location
Senior Data Analyst,Ascension,"Tulsa, OK 74105"
Quality Engineer/Data Analyst,Estis Management Llc,"Midland, TX 79707"
Data & Reporting Analyst,Invest Puerto Rico,"San Juan, PR 00907 
(Santurce area)"
Data Analyst,Laborup,"Knoxville, TN"
Senior Data Visualizations Analyst,Contexture,"Hybrid work in Phoenix, AZ"
Data/BI Engineer,IDR Inc.,"Seattle, WA 98104"
Power BI Report Developer,SNI Companies,"Hybrid work in Denver, CO 80238"
Business Intelligence Analyst - Finance,"Nevco Sports, LLC","Edwardsville, IL 62025"
Backlog Data Analyst,STS Aerospace,"Laconia, NH 03246"
Data Analyst,Ascension Federal Services Inc.,"Tallahassee, FL 32301"
Data Analyst,Cervello Global Corporation,"Quantico, VA 22134"
Data Analyst,Gerdau,"Tampa, FL"
,,
Data Intelligence Analyst,LKQ Corporation,"Nashville, TN"
Data & Compliance Analyst,Shift HR,"Charleston, SC 29401"
Data Quality Analyst,"LOG-NET, Inc.","Hybrid work in Atlanta, GA 30339"
IT Business Analyst,Robert W. Baird,"Hybrid work in Milwaukee, WI 53202"
Reporting Analyst,SA Technology,"Boston, MA 02136 
(Hyde Park area)"
Data Analyst/SIOP Analyst,CMC,"Irving, TX 75039"
